author,cid,comment,commentsCount,pageUrl,title,videoId
@rayhanirfander7723,UgzVnc3bxMaD_lYzLAh4AaABAg,"Gegara Deepfakenya Andrew Garfield Akhirnya Ngesearch Video Deepfake Dan  Nemu Channel Ini, Videonya Sangat Bermanfaat Sekali Trimakasih",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@bangjunior4973,Ugwdm9PEL__IWZYCHDt4AaABAg,"Terimakasih bang, ilmunya bermanfaat. Semangat. Ijin share 🙏",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@cadileka8899,Ugz04GkR3pwKA7CPPqt4AaABAg,"ANJRIT CHANEL BAGUS INI",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@mrnjksp9700,UgwM-s1F7Ddod-pE7lJ4AaABAg,"Kerana UEL aq belajar kaji tentang deepfake,ahirnya aq jumpa chanel ini,ternyata ada sesuatu mengenai feepfake... 👍",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kohLeeDjocdja,UgxuDXK5R2bsR8w5NrJ4AaABAg,"Pakai koding2 itu ya ?... yg pakai software ada kah ?....",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kagetin3380,Ugw9BOQ_F9pZSB2k-TV4AaABAg,"ronaldo: Beli semua di shopee, geratis onkieeerw",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@sotongannogaya6916,UgwE5_-DLvWFOw4P6QZ4AaABAg,"Deepfake itu offline atau online bang ?",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@napuzu,Ugx_jXSUicD5ChTCEqR4AaABAg,"alasan kenapa idol luar kalau livesteam IG pakai filter menor.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kepoinaja2548,UgxcV0YmuR7BXkVsEFJ4AaABAg,"Dame Dane Dame yo Dame da doyo awokwokwokwok",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@rowleyaseng2216,UgwEIgp368DkUnQX-0F4AaABAg,"Di twitter lain cerita deepfakenya. #iykwim",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@AbidienMahaja,UgxKG1CrrygHKzha0dR4AaABAg,"Gila luar biasa ternyata dampak diciptakannya deepfake",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@aseven7777,UgwfUeyFRtZ_eDIKbJR4AaABAg,"Yg bahaya kalo teknologi ini digunakan untuk memfitnah/menipu",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@prepareid4909,UgzrDomRgEVqL4WoOsl4AaABAg,"sdh pasti nih di pake perang dunia 3 dan   perang informasi di Ukraina ,  presiden nya pelawak",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@rangga709,Ugy_7JdnlzLa1AAhBBh4AaABAg,"Awal mula nonton ip man 4 ada bruce lee nya, ternyata itu deepfake. Alhasil coba lihat video ini biar makin paham apa itu deepfake 😂",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@galuhayundan4456,UgyM3gZ3qqYdxSXunx54AaABAg,"Informasi yang bagus!",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@ragilsaputra2371,Ugwe8RnJDWVz-WndK2l4AaABAg.9UWSN9W0Xqq9UZHpSho8-O,"a23 Maksud saya tabayun (klarifikasi) bro. Biar kalau ada berita/kejadian ini itu jangan langsung telan bulat-bulat. Namun di klarifikasi dulu dari sumber terpercaya.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
